# Store POS truncations -> full word. One rule per line: <truncation><TAB><Expansion>.
# Generated from corpus frequency analysis, filtered against a 53k Croatian wordlist
# (real words never expanded) and vetted for brand/context false positives.
# Only expansions where the truncation is NOT a valid standalone word.
activ	Active
adven	Advent
afrod	Afrodita
agro	Agrovir
airw	Airwick
alkoh	Alkoholni
alpi	Alpina
aluf	Alufix
alum	Aluminijska
alumin	Aluminijska
amer	American
americ	American
america	American
anan	Ananas
angel	Angelica
apar	Aparat
aquaf	Aquafresh
aran	Aranžman
aranž	Aranžman
arom	Aroma
babi	Babić
baguet	Baguette
bakal	Bakalar
bakin	Bakina
bals	Balsamico
balsam	Balsamico
balz	Balzam
bamb	Bambus
bana	Banana
banan	Banana
barr	Barrique
bater	Baterije
beza	Bezal
bift	Biftek
bije	Bijeli
biljno	Biljnom
biob	Biobaza
biskv	Biskvit
blaz	Blazinice
blis	Blister
blist	Blister
blos	Blossom
bloss	Blossom
bobi	Bobis
boci	Bocica
bolog	Bolognese
bomb	Bomboni
bombo	Bomboni
bord	Bordo
borov	Borovnica
borovn	Borovnica
bosilj	Bosiljak
bosm	Bosmattom
bosmat	Bosmattom
bozic	Bozicna
boži	Božić
braš	Brašno
brašn	Brašno
break	Breakfast
bres	Breskva
bresk	Breskva
brij	Brijač
brijan	Brijanje
brit	Britvice
britv	Britvice
brok	Brokula
brusn	Brusnica
budg	Budget
budge	Budget
buen	Bueno
burg	Burger
bučin	Bučino
caber	Cabernet
cappucc	Cappuccino
cara	Caramel
caram	Caramel
cedev	Cedevita
cetk	Cetkica
champ	Champagne
chard	Chardonnay
chardon	Chardonnay
chedd	Cheddar
chees	Cheese
cher	Cherry
chic	Chicken
chill	Chilli
chip	Chips
chocolat	Chocolate
chris	Christmas
ciabatt	Ciabatta
cisc	Ciscenje
citr	Citrus
cjed	Cjedilo
classi	Classic
cock	Cocktail
cockta	Cocktail
coko	Cokolada
cokol	Cokolada
colg	Colgate
comf	Comfort
comp	Complete
compl	Complete
conn	Connect
crije	Crijeva
crisp	Crispy
crois	Croissant
croiss	Croissant
croissan	Croissant
croma	Cromaris
crunc	Crunchy
crve	Crvena
cuve	Cuvee
cvij	Cvijet
dalm	Dalmatinska
dalma	Dalmatinska
dalmat	Dalmatinska
dalmatin	Dalmatinska
daniel	Daniels
deko	Dekor
delic	Delicato
delik	Delikates
delikat	Delikates
delux	Deluxe
derm	Derma
deser	Desert
desp	Despar
deterdž	Deterdžent
diam	Diamond
digest	Digestive
dimlj	Dimljena
disp	Display
displ	Display
dječ	Dječja
dnev	Dnevna
dodat	Dodatak
dolin	Doline
domes	Domestos
dorin	Dorina
dvope	Dvopek
econ	Economic
edit	Edition
ekst	Ekstra
ement	Ementaler
emental	Ementaler
emmental	Emmentaler
ener	Energy
energ	Energy
espr	Espresso
espres	Espresso
espress	Espresso
evel	Eveline
excell	Excellence
extr	Extra
fami	Family
fefer	Feferoni
ferre	Ferrero
filt	Filter
finis	Finish
fior	Fiorital
fiori	Fiorital
flast	Flaster
foli	Folija
fran	Franck
frank	Frankovka
freix	Freixenet
fres	Fresh
frisk	Friskies
frit	Frites
